epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,10949.3,0.39319,0.51104,0.98069,0.85677,0.82452,0.90019,0.89478,0.22138,0.59685,0.76511,0.000693305,0.000693305,0.000693305
120,11041.2,0.39592,0.52436,0.99217,0.79524,0.90128,0.93096,0.92691,0.21098,0.54171,0.7568,0.000685054,0.000685054,0.000685054
121,11133,0.39366,0.52568,0.98667,0.80003,0.90269,0.90379,0.89047,0.21841,0.50769,0.7626,0.000676802,0.000676802,0.000676802
122,11225,0.39687,0.54109,0.99151,0.81512,0.86604,0.92316,0.91434,0.20993,0.54397,0.75852,0.00066855,0.00066855,0.00066855
123,11316.8,0.38929,0.50641,0.98105,0.86854,0.85786,0.93775,0.92394,0.21351,0.40894,0.75472,0.000660299,0.000660299,0.000660299
124,11408.6,0.38694,0.51252,0.97829,0.89515,0.8904,0.92144,0.91462,0.21399,0.41693,0.75671,0.000652047,0.000652047,0.000652047
125,11501.2,0.38806,0.5093,0.98348,0.7725,0.9097,0.9152,0.91072,0.22203,0.54779,0.75911,0.000643795,0.000643795,0.000643795
126,11593,0.38496,0.50271,0.98001,0.86535,0.89551,0.91616,0.9038,0.22612,0.49833,0.76652,0.000635544,0.000635544,0.000635544
127,11684.9,0.3863,0.49089,0.97992,0.88023,0.90393,0.94434,0.9373,0.22717,0.46342,0.76439,0.000627292,0.000627292,0.000627292
128,11776.8,0.38411,0.50961,0.97549,0.84473,0.89489,0.93134,0.92079,0.22766,0.45032,0.76916,0.00061904,0.00061904,0.00061904
129,11868.6,0.38838,0.50243,0.98324,0.78091,0.90837,0.9081,0.90267,0.20416,0.52529,0.75364,0.000610789,0.000610789,0.000610789
130,11960.4,0.39343,0.49476,0.98871,0.83358,0.89583,0.90932,0.903,0.2168,0.54808,0.76298,0.000602537,0.000602537,0.000602537
131,12052.2,0.38646,0.50612,0.97942,0.80579,0.91681,0.93403,0.92545,0.22774,0.48209,0.7641,0.000594286,0.000594286,0.000594286
132,12144.1,0.39043,0.49263,0.99435,0.81276,0.87439,0.92448,0.91658,0.21092,0.52352,0.75723,0.000586034,0.000586034,0.000586034
133,12235.8,0.37459,0.47463,0.97009,0.82245,0.91806,0.93274,0.92191,0.21014,0.49255,0.76021,0.000577782,0.000577782,0.000577782
134,12327.6,0.39181,0.48008,0.98254,0.787,0.90188,0.92914,0.92125,0.21224,0.5406,0.75782,0.000569531,0.000569531,0.000569531
135,12419.4,0.37195,0.47922,0.9744,0.8542,0.88114,0.93597,0.9276,0.21392,0.45851,0.75846,0.000561279,0.000561279,0.000561279
136,12511.2,0.37426,0.49023,0.97516,0.87858,0.93216,0.94391,0.93213,0.21516,0.46574,0.75754,0.000553027,0.000553027,0.000553027
137,12603,0.38495,0.47642,0.98273,0.87365,0.89883,0.92295,0.91354,0.2127,0.43185,0.75666,0.000544776,0.000544776,0.000544776
138,12694.9,0.37886,0.46732,0.97404,0.85947,0.87709,0.93363,0.92568,0.21379,0.46763,0.75747,0.000536524,0.000536524,0.000536524
139,12786.7,0.36914,0.46134,0.9752,0.86425,0.90844,0.93462,0.92384,0.21542,0.4291,0.76022,0.000528272,0.000528272,0.000528272
140,12878.5,0.37515,0.45386,0.97549,0.80584,0.92529,0.9186,0.91268,0.22116,0.46901,0.76332,0.000520021,0.000520021,0.000520021
141,12970.3,0.37979,0.46221,0.97926,0.86726,0.88579,0.92751,0.91819,0.22148,0.43847,0.76449,0.000511769,0.000511769,0.000511769
142,13062.1,0.37896,0.48343,0.98451,0.82511,0.94816,0.93944,0.92642,0.2222,0.4146,0.76849,0.000503517,0.000503517,0.000503517
143,13153.9,0.37035,0.45322,0.97779,0.81679,0.93536,0.93863,0.92948,0.21392,0.41116,0.75947,0.000495266,0.000495266,0.000495266
